sample	TAL1	MEIS1	RUNX1	NPM1	FLT3	MPO	SPI1	ELANE	IDH1	KIT	GATA1	KLF1	DNMT3A	CSF3R	GATA2	IDH2	SOD1	cell_type
CFU-Megakaryo.3	12.3385358177	8.60310003296	12.0645266943	12.9753515133	5.79693308984	7.92850851772	6.59616793302	5.53336021119	11.2963805943	9.29367161591	6.41237034236	8.89212517536	6.00748738075	5.32045686808	10.849941393	8.52007556961	11.6502144428	CFU-Megakaryo
CFU-Megakaryo.4	11.5540793951	8.35977097439	12.1848386809	12.645139726	7.27001570252	8.19521727373	6.34449748066	5.88031531773	10.9738256479	9.69919943027	5.3373014687	8.11831393934	6.12822410889	5.44361888496	10.0507349739	8.47107116318	11.4205094529	CFU-Megakaryo
CFU-Mono	9.34880920992	5.58214096174	11.3154015248	12.0318553742	5.70891908931	12.1685334797	7.71666052494	10.2019914407	11.4704240099	6.69562472171	5.5587000131	6.84157593141	5.67090789587	7.36016293047	6.96752818257	7.61273827899	10.1530043278	CFU-Mono
CFU-Mono.1	11.1936548369	6.67575250386	11.6161653548	12.499549258	9.55126671077	12.0616732187	8.14831756355	7.36209370449	11.8838978814	10.1567645078	6.03573436312	7.29806871056	5.49726084785	6.41677390426	9.60337513037	8.60865280209	10.7599611818	CFU-Mono
CFU-Mono.2	10.0772166448	5.95650361368	9.76612530982	11.4882993627	5.69102817913	9.65071298708	8.44175285123	8.23704873913	10.2194443322	6.07963375892	5.77063611047	8.26421396171	6.36007754537	6.29659925248	6.01656141926	6.70826371584	9.44512643864	CFU-Mono
CFU-Mono.3	10.0843798439	6.61249145552	10.0431720142	11.5836052869	5.73216016069	10.7430679314	8.55368184136	7.860293404	10.9846188073	6.15749546337	5.57648560296	8.06479526214	6.68259193163	6.39670056352	6.25190969016	6.67860921332	9.06938535902	CFU-Mono
CMP	11.3516098884	7.26668029252	12.7714550503	13.3521101261	8.56378334489	12.7633360212	6.60409808689	6.41295703846	11.5818364359	11.2535869485	6.2380110049	7.62141887896	5.71604874724	6.12413228786	11.8113525388	8.96660296233	11.2998392346	CMP
CMP.1	11.2140965307	7.90496199333	11.8903707901	13.0600146704	6.29105305667	12.3293853603	6.77145076177	6.17844932388	11.4318406544	11.2302349401	5.60913495262	7.12844222428	5.7391916968	5.47281684868	11.2700536967	7.69958980481	10.7805636914	CMP
CMP.2	12.0720756667	7.08523597825	12.4625553557	13.303698396	6.3746148972	11.6585197609	7.33798409768	5.7460878363	11.7236768824	9.25410538055	5.95555738813	7.96097164931	7.07104368198	5.57384099379	11.6312498969	7.90246146231	11.1635635137	CMP
CMP.3	6.944155506	5.95155916783	9.2541913397	12.9684153727	5.57170299111	5.72507975951	6.35778012049	5.51725895254	5.97791024232	5.74820427181	5.70239104614	8.4022404385	5.75239256939	5.22515454587	5.72858196533	6.29018970697	10.946808325	CMP
Early B-cell	9.06682583422	6.39846789867	10.9440021933	12.1013238897	5.4550693879	5.82885686499	6.03698190174	5.94997485622	10.066168377	7.09511382297	5.41072908434	6.3768355193	5.85902431474	5.01258200688	6.51036521903	7.94194869979	10.3755349192	Early B-cell
Early B-cell.1	8.27789958309	6.37370006064	10.6601557831	11.7066456578	5.66407225182	6.23661619858	6.52870033576	6.42922321904	9.13845591803	6.62835344964	5.43084147334	7.16743400823	6.56153191466	5.08515780248	6.41007845803	6.41269771905	10.752874886	Early B-cell
Early B-cell.2	8.34772637984	6.80211528267	9.0320925014	11.1563178031	5.52312500987	6.70668495509	8.41818077581	7.14090427132	8.19734705089	6.58933494175	6.05897434805	8.02396001703	6.17327845116	5.58157802535	6.60654347152	6.61215280971	8.37583499367	Early B-cell
Early B-cell.3	10.1352027568	6.71481908864	9.66279261724	11.29016556	5.34252249252	9.74005881418	6.94581937057	7.77864417852	8.90401726303	7.22381470734	5.38274922184	8.66566070817	6.10095511194	6.13444947781	6.38941044244	6.90963041623	9.09567073174	Early B-cell
Eosinophill	8.47147908513	6.15061326193	10.2901356543	11.8142692864	5.82926666927	8.33902596488	6.42991628672	5.83883231763	10.2445900893	7.18718442901	5.27160229519	7.23281408861	5.8092545691	5.6612838411	9.68900317646	6.10873954668	9.07790358261	Eosinophill
Eosinophill.1	9.79374524506	5.83561099098	12.0436413414	12.7782428981	5.63413640211	6.36987877884	6.80638444446	5.37007857913	10.5654815285	7.24173978456	5.35140825101	6.85211967707	6.12797132979	5.65301258982	10.3301984526	7.64232367313	10.4366250602	Eosinophill
Eosinophill.2	10.1567022564	5.96195565614	12.3280970516	12.8316920052	6.92447615174	9.17245469551	6.43619979727	5.53624322947	11.0948095234	6.52884879286	5.42317028666	6.536683466	5.83808064725	5.35393579816	12.1408410101	7.80419978941	9.90738129644	Eosinophill
Eosinophill.3	9.45820374839	6.19583782972	11.4810499151	11.8132204809	6.18986565444	7.3280168501	6.29174823059	5.63913382323	10.8867034591	7.30054011058	5.08100999325	6.65833065693	5.76970459728	5.16128028229	10.2248456099	6.65238967587	9.75420106968	Eosinophill
Eosinophill.4	10.1571178146	6.25397078866	11.3553507009	12.0677292765	5.61525826529	10.9811890218	6.7502804647	8.11029909558	11.0459022817	7.02467261637	5.3097708826	6.35533546923	6.08126336535	7.11762153024	9.540354567	7.90163991667	9.39347973973	Eosinophill
Eryth.CD34+CD71+GlyA-	12.58718782	8.8589468796	12.1269577667	13.4853436032	5.60313146479	8.51541656585	6.26891428861	5.55228314233	11.3130687374	10.7976209376	5.80455052195	9.23393426238	5.97021828925	5.00094608132	11.420024994	8.8701613673	11.6334622515	Eryth
Eryth.CD34+CD71+GlyA-.1	11.5015172477	7.49709404888	11.2493136868	13.2758815629	5.86225790333	8.29216695363	6.39919431283	5.40916901415	10.6285655456	10.3430219619	5.9411160082	9.23315301254	5.60233377856	5.03033887388	10.7795410773	7.1993689698	10.2170010948	Eryth
Eryth.CD34+CD71+GlyA-.2	11.9769679466	9.22544086638	12.3734019567	13.5317357061	8.17972112782	10.7133578237	6.50909459788	5.31665127758	12.0590093978	10.8737933713	6.0191084641	7.95418508043	6.13873390356	5.53413408934	10.9643437091	8.75460150216	11.6400110152	Eryth
