sample	cell_type	coarse_type	Bcell	DC	Erythroid	HSC_like	Myeloid	T_NK
Granulo (Neutro).2	Granulo (Neutro)	Myeloid	0.43544485085047535	0.00012392281806955413	0.01721296907168186	0.001134261383611656	0.5420238302830428	0.004060165593118701
Granulo (Neutro).3	Granulo (Neutro)	Myeloid	0.044435133825343046	5.617317732170669e-05	0.0052600863011466005	0.00032600213264299494	0.948870073431958	0.0010525311315877628
HSC CD133+ CD34dim	HSC CD133+ CD34dim	HSC_like	7.679010642007302e-05	0.002375836129230864	0.03666820988970489	0.9539716420633177	0.006895361627294724	1.2160184031711515e-05
HSC CD133+ CD34dim.1	HSC CD133+ CD34dim	HSC_like	3.1837202254294964e-05	0.0007938845845900287	0.22901015025999402	0.7069968016515141	0.06315971151887108	7.614782776581992e-06
HSC CD133+ CD34dim.2	HSC CD133+ CD34dim	HSC_like	2.5733622571104427e-05	0.0013687298631726535	0.04031548884748054	0.94927938284561	0.009007280006559041	3.384814606705773e-06
HSC CD133+ CD34dim.3	HSC CD133+ CD34dim	HSC_like	2.3653871491898983e-05	0.0030290896669642577	0.020704974199847008	0.9591089835632334	0.01713095785339676	2.340845066861862e-06
HSC CD133+ CD34dim.4	HSC CD133+ CD34dim	HSC_like	1.3170874589808801e-05	0.0022183374992888276	0.011060172843820059	0.9822825112317517	0.004417253951503164	8.553599046441318e-06
HSC CD133+ CD34dim.5	HSC CD133+ CD34dim	HSC_like	0.0006010489760945468	0.020962950091031992	0.09968186246528007	0.8642987545547924	0.013840721217284144	0.0006146626955169169
HSC CD133+ CD34dim.6	HSC CD133+ CD34dim	HSC_like	3.4782197934507983e-05	0.002559862355746896	0.045769459461383194	0.9435443662204316	0.008066896301758893	2.463346274511772e-05
HSC CD133+ CD34dim.7	HSC CD133+ CD34dim	HSC_like	2.554075327725086e-05	0.0034344680914708396	0.07081115994374808	0.9236203006809257	0.0020174170259421283	9.111350463583127e-05
HSC CD133+ CD34dim.8	HSC CD133+ CD34dim	HSC_like	1.3998703062167324e-05	0.0034363845722424524	0.03428110251203098	0.9583248181980485	0.003921610686083008	2.2085328532931944e-05
HSC CD133+ CD34dim.9	HSC CD133+ CD34dim	HSC_like	0.00010094974983678149	0.0005553276836123207	0.031350951341667946	0.9658692540062329	0.0021012851539985136	2.2232064651571114e-05
MEP	MEP	Erythroid	1.1640456491519898e-05	0.0013184170722387602	0.7333906385669567	0.23365071697406264	0.031563281770918564	6.530515933185447e-05
MEP.1	MEP	Erythroid	1.164423923830728e-05	0.0018437848042609586	0.7652286126935127	0.19604305859771326	0.036576773752379235	0.00029612591289564927
MEP.2	MEP	Erythroid	5.303309623279796e-06	0.0018907588028231773	0.7516175845087035	0.23616673268305946	0.010096578287324217	0.0002230424084664275
MEP.3	MEP	Erythroid	1.7072358649476721e-06	0.0002547571359560438	0.9223468751645718	0.05641065148497496	0.020965803899258482	2.0205079373774718e-05
MEP.4	MEP	Erythroid	1.4757789160157316e-05	0.000136488460360715	0.9582644078484285	0.002465544922155912	0.03861879214329097	0.0005000088366036062
MEP.5	MEP	Erythroid	8.38780647055376e-06	0.0026123347022955997	0.794053148728849	0.16531373737249472	0.03708480457684003	0.0009275868130501551
MEP.6	MEP	Erythroid	3.9746086103740886e-05	0.002424804600517808	0.8740375791746654	0.02449237787720033	0.09719695353317225	0.0018085387283404198
MEP.7	MEP	Erythroid	4.5866799438748515e-06	0.00010671659486502142	0.9892921207668349	0.0037620225010134224	0.005737984994432854	0.001096568462909773
MEP.8	MEP	Erythroid	1.6834663745335734e-05	0.0004167001242400313	0.9737050619816154	0.00876780168350524	0.01631816774597073	0.00077543380092324
Megakaryocyte	Megakaryocyte	Erythroid	0.008934823789816896	0.002128615853479343	0.6839334706450156	0.002755377230266242	0.3008405223173726	0.0014071901640491785
Megakaryocyte.1	Megakaryocyte	Erythroid	0.011308361381959623	0.007969979194023091	0.9772667635597967	0.0018211204644664292	0.00046047891440555177	0.001173296485348751
Megakaryocyte.2	Megakaryocyte	Erythroid	0.00015596340177642147	8.844381901043286e-05	0.9986773231419238	0.0006326455013492204	0.00043120280408526213	1.4421331855017217e-05
Megakaryocyte.3	Megakaryocyte	Erythroid	0.006438011697282165	0.005153663330656719	0.9703690014214944	0.0037886280461747533	0.004447596457755449	0.009803099046636362
Megakaryocyte.4	Megakaryocyte	Erythroid	0.016329190289961614	0.002314163638258456	0.9616752853176378	0.0017951780635720688	0.015550470445416326	0.0023357122451538566
Megakaryocyte.5	Megakaryocyte	Erythroid	0.005698770082421947	0.0076207893250473556	0.7881606431250643	0.0009097973683201008	0.13616584441815086	0.0614441556809953
Megakaryocyte.6	Megakaryocyte	Erythroid	0.06438658705491757	0.008620563874370945	0.7173568465865467	0.0010018603355261306	0.2049565258295442	0.0036776163190942756
Monocyte	Monocyte	Myeloid	0.005302987109455609	0.00022158113053994462	8.943663138343587e-05	0.0001577392452839392	0.9934979819589722	0.0007302739243650135
Monocyte.1	Monocyte	Myeloid	0.003805133974391791	0.0003495545310478632	4.802947640780123e-05	0.0004191332818170569	0.9888987931705661	0.00647935556576942
Monocyte.2	Monocyte	Myeloid	0.016914890636675138	0.0005230010329808854	0.0005845551941659267	0.0006704881747382781	0.9788106232569606	0.0024964417044793163
Monocyte.3	Monocyte	Myeloid	0.003522985239382509	0.0018263307621342853	9.568825817487981e-05	0.000508877314214677	0.9934115785589566	0.0006345398671371821
Monocyte.4	Monocyte	Myeloid	0.026281433706487545	3.9327048550165405e-05	0.0008531487353048463	7.974600346446871e-05	0.9727404083357265	5.936170466483783e-06
Myeloid DC	Myeloid DC	Myeloid	0.00986636680092472	0.0704961356007399	4.1450795035320657e-05	0.025928463247073173	0.8734794125485403	0.020188171007686547
Myeloid DC.1	Myeloid DC	Myeloid	0.02139800182809646	0.11056320369434416	4.961171177744316e-05	0.021048830725606028	0.7937241031702172	0.053216248869958536
Myeloid DC.2	Myeloid DC	Myeloid	0.02098380896914237	0.10225798689734263	7.677687731561955e-05	0.017536190777309998	0.8387404113621255	0.02040482511676379
Myeloid DC.3	Myeloid DC	Myeloid	0.009929488260408412	0.05914643102259881	4.257746739714679e-05	0.004819691045459604	0.9211758888913454	0.004885923312790709
